OPERAT_CARRIER_CD,Key,OPERAT_FLIGHT_NBR,SCHD_DEP_DT,SCHD_DEP_AIRPRT_IATA_CD,ARVL_AIRPRT_IATA_CD,SCHD_LEG_DEP_TMS,EST_LEG_DEP_TMS,ACTL_LEG_DEP_TMS,SCHD_LEG_ARVL_TMS,EST_LEG_ARVL_TMS,ACTL_LEG_ARVL_TMS,LAST_UPDT_TMS_LCL,CURR_STATUS_IND
AA,1001_2024-08-01_DFW,1001,2024-08-01,DFW,STS,2024-08-01 10:05:00,2024-08-01 10:34:00,2024-08-01 11:53:00,2024-08-01 11:48:00,2024-08-01 12:17:00,,2024-08-01 06:45:52.397,N
AA,1001_2024-08-01_DFW,1001,2024-08-01,DFW,STS,2024-08-01 10:05:00,2024-08-01 11:13:00,2024-08-01 11:53:00,2024-08-01 11:48:00,2024-08-01 12:49:00,,2024-08-01 07:27:12.217,N
AA,1001_2024-08-01_DFW,1001,2024-08-01,DFW,STS,2024-08-01 10:05:00,2024-08-01 11:22:00,2024-08-01 11:53:00,2024-08-01 11:48:00,2024-08-01 13:04:00,,2024-08-01 10:43:31.343,N
AA,1001_2024-08-01_DFW,1001,2024-08-01,DFW,STS,2024-08-01 10:05:00,2024-08-01 11:42:00,2024-08-01 11:53:00,2024-08-01 11:48:00,2024-08-01 13:20:00,,2024-08-01 11:05:22.426,N
AA,1001_2024-08-01_DFW,1001,2024-08-01,DFW,STS,2024-08-01 10:05:00,2024-08-01 11:57:00,2024-08-01 11:53:00,2024-08-01 11:48:00,2024-08-01 13:35:00,,2024-08-01 11:19:26.063,N
AA,1001_2024-08-01_DFW,1001,2024-08-01,DFW,STS,2024-08-01 10:05:00,2024-08-01 11:57:00,2024-08-01 11:53:00,2024-08-01 11:48:00,2024-08-01 13:21:00,2024-08-01 13:20:00,2024-08-01 15:22:43.288,Y
AA,1001_2024-08-02_DFW,1001,2024-08-02,DFW,STS,2024-08-02 10:05:00,2024-08-02 10:12:00,2024-08-02 12:01:00,2024-08-02 11:48:00,2024-08-02 11:50:00,,2024-08-02 09:37:32.556,N
AA,1001_2024-08-02_DFW,1001,2024-08-02,DFW,STS,2024-08-02 10:05:00,2024-08-02 10:22:00,2024-08-02 12:01:00,2024-08-02 11:48:00,2024-08-02 12:00:00,,2024-08-02 09:52:31.101,N
AA,1001_2024-08-02_DFW,1001,2024-08-02,DFW,STS,2024-08-02 10:05:00,2024-08-02 11:40:00,2024-08-02 12:01:00,2024-08-02 11:48:00,2024-08-02 13:07:00,,2024-08-02 10:00:17.131,N
AA,1001_2024-08-02_DFW,1001,2024-08-02,DFW,STS,2024-08-02 10:05:00,2024-08-02 11:50:00,2024-08-02 12:01:00,2024-08-02 11:48:00,2024-08-02 13:25:00,,2024-08-02 10:59:59.742,N
AA,1001_2024-08-02_DFW,1001,2024-08-02,DFW,STS,2024-08-02 10:05:00,2024-08-02 12:00:00,2024-08-02 12:01:00,2024-08-02 11:48:00,2024-08-02 13:35:00,,2024-08-02 11:52:16.164,N
AA,1001_2024-08-02_DFW,1001,2024-08-02,DFW,STS,2024-08-02 10:05:00,2024-08-02 12:00:00,2024-08-02 12:01:00,2024-08-02 11:48:00,2024-08-02 13:51:00,2024-08-02 13:51:00,2024-08-02 15:53:35.823,Y
AA,1001_2024-08-03_DFW,1001,2024-08-03,DFW,STS,2024-08-03 10:05:00,2024-08-03 10:15:00,2024-08-03 10:38:00,2024-08-03 11:48:00,2024-08-03 12:01:00,,2024-08-03 10:00:00.194,N
AA,1001_2024-08-03_DFW,1001,2024-08-03,DFW,STS,2024-08-03 10:05:00,2024-08-03 10:30:00,2024-08-03 10:38:00,2024-08-03 11:48:00,2024-08-03 12:16:00,,2024-08-03 10:23:20.328,N
AA,1001_2024-08-03_DFW,1001,2024-08-03,DFW,STS,2024-08-03 10:05:00,2024-08-03 10:30:00,2024-08-03 10:38:00,2024-08-03 11:48:00,2024-08-03 12:32:00,,2024-08-03 14:23:35.406,Y
AA,1001_2024-08-04_DFW,1001,2024-08-04,DFW,STS,2024-08-04 10:05:00,2024-08-04 10:18:00,2024-08-04 10:27:00,2024-08-04 11:48:00,2024-08-04 12:02:00,,2024-08-04 09:37:25.625,N
AA,1001_2024-08-04_DFW,1001,2024-08-04,DFW,STS,2024-08-04 10:05:00,2024-08-04 10:21:00,2024-08-04 10:27:00,2024-08-04 11:48:00,2024-08-04 12:05:00,,2024-08-04 10:15:48.643,N
AA,1001_2024-08-04_DFW,1001,2024-08-04,DFW,STS,2024-08-04 10:05:00,2024-08-04 10:21:00,2024-08-04 10:27:00,2024-08-04 11:48:00,2024-08-04 12:16:00,2024-08-04 12:16:00,2024-08-04 14:17:46.048,Y
AA,1001_2024-08-05_DFW,1001,2024-08-05,DFW,STS,2024-08-05 10:05:00,2024-08-05 11:40:00,2024-08-05 12:26:00,2024-08-05 11:48:00,2024-08-05 13:14:00,,2024-08-05 09:41:16.463,N
AA,1001_2024-08-05_DFW,1001,2024-08-05,DFW,STS,2024-08-05 10:05:00,2024-08-05 11:44:00,2024-08-05 12:26:00,2024-08-05 11:48:00,2024-08-05 13:22:00,,2024-08-05 11:19:00.135,N
AA,1001_2024-08-05_DFW,1001,2024-08-05,DFW,STS,2024-08-05 10:05:00,2024-08-05 11:59:00,2024-08-05 12:26:00,2024-08-05 11:48:00,2024-08-05 13:37:00,,2024-08-05 11:54:37.605,N
AA,1001_2024-08-05_DFW,1001,2024-08-05,DFW,STS,2024-08-05 10:05:00,2024-08-05 12:09:00,2024-08-05 12:26:00,2024-08-05 11:48:00,2024-08-05 14:01:00,,2024-08-05 12:09:32.602,N
AA,1001_2024-08-05_DFW,1001,2024-08-05,DFW,STS,2024-08-05 10:05:00,2024-08-05 12:11:00,2024-08-05 12:26:00,2024-08-05 11:48:00,2024-08-05 14:03:00,,2024-08-05 12:09:51.833,N
AA,1001_2024-08-05_DFW,1001,2024-08-05,DFW,STS,2024-08-05 10:05:00,2024-08-05 12:21:00,2024-08-05 12:26:00,2024-08-05 11:48:00,2024-08-05 14:13:00,,2024-08-05 12:21:19.513,N
AA,1001_2024-08-05_DFW,1001,2024-08-05,DFW,STS,2024-08-05 10:05:00,2024-08-05 12:26:00,2024-08-05 12:26:00,2024-08-05 11:48:00,2024-08-05 14:18:00,,2024-08-05 12:25:03.134,N
AA,1001_2024-08-05_DFW,1001,2024-08-05,DFW,STS,2024-08-05 10:05:00,2024-08-05 12:30:00,2024-08-05 12:26:00,2024-08-05 11:48:00,2024-08-05 14:18:00,,2024-08-05 12:27:33.003,N
AA,1001_2024-08-05_DFW,1001,2024-08-05,DFW,STS,2024-08-05 10:05:00,2024-08-05 12:30:00,2024-08-05 12:26:00,2024-08-05 11:48:00,2024-08-05 14:03:00,2024-08-05 14:01:00,2024-08-05 16:03:52.669,Y
AA,1001_2024-08-06_AVL,1001,2024-08-06,AVL,CLT,2024-08-06 19:43:00,2024-08-06 19:43:00,2024-08-06 19:38:00,2024-08-06 20:44:00,2024-08-06 21:15:00,2024-08-06 21:26:00,2024-08-06 21:27:53.036,Y
AA,1001_2024-08-06_CLT,1001,2024-08-06,CLT,AVL,2024-08-06 18:10:00,2024-08-06 18:15:00,2024-08-06 18:22:00,2024-08-06 19:03:00,2024-08-06 19:02:00,,2024-08-06 17:43:40.172,N
AA,1001_2024-08-06_CLT,1001,2024-08-06,CLT,AVL,2024-08-06 18:10:00,2024-08-06 18:17:00,2024-08-06 18:22:00,2024-08-06 19:03:00,2024-08-06 19:04:00,,2024-08-06 17:26:26.396,N
AA,1001_2024-08-06_CLT,1001,2024-08-06,CLT,AVL,2024-08-06 18:10:00,2024-08-06 18:22:00,2024-08-06 18:22:00,2024-08-06 19:03:00,2024-08-06 19:09:00,,2024-08-06 18:03:32.708,N
AA,1001_2024-08-06_CLT,1001,2024-08-06,CLT,AVL,2024-08-06 18:10:00,2024-08-06 18:22:00,2024-08-06 18:22:00,2024-08-06 19:03:00,2024-08-06 19:04:00,2024-08-06 18:59:00,2024-08-06 21:27:53.035,Y
AA,1001_2024-08-07_AVL,1001,2024-08-07,AVL,CLT,2024-08-07 19:43:00,2024-08-07 19:43:00,2024-08-07 19:39:00,2024-08-07 20:44:00,2024-08-07 20:28:00,2024-08-07 20:39:00,2024-08-07 20:39:48.075,Y
AA,1001_2024-08-07_CLT,1001,2024-08-07,CLT,AVL,2024-08-07 18:10:00,2024-08-07 18:16:00,2024-08-07 18:22:00,2024-08-07 19:03:00,2024-08-07 19:03:00,,2024-08-07 17:06:53.548,N
AA,1001_2024-08-07_CLT,1001,2024-08-07,CLT,AVL,2024-08-07 18:10:00,2024-08-07 18:23:00,2024-08-07 18:22:00,2024-08-07 19:03:00,2024-08-07 19:10:00,,2024-08-07 17:58:59.527,N
